,0
2010-01-05,0.002372356511533046
2010-01-06,-0.0008741544475693458
2010-01-07,-0.014151913225377158
2010-01-08,0.008830380212355418
2010-01-11,0.0031178774965875357
2010-01-12,-0.018808329338075254
2010-01-13,0.0074836385428886446
2010-01-14,0.007395175203805091
2010-01-15,-0.005630560644930166
2010-01-18,-0.001173810492226856
2010-01-19,-0.0015388878464818517
2010-01-20,-0.010845685975394051
2010-01-21,-0.05092000099553933
2010-01-22,-0.03835073155014767
2010-01-25,-0.0020283141810785556
2010-01-26,-0.015961266762233924
2010-01-27,0.009073572765691724
2010-01-28,-0.006103064757809549
2010-01-29,-0.016296139851934257
2010-02-01,0.02209005722810508
2010-02-02,0.010228659553153895
2010-02-03,0.02404148790275193
2010-02-04,-0.03542860795021364
2010-02-05,0.020045906853016004
2010-02-08,-0.036855880215191296
2010-02-09,0.0023797175620648026
2010-02-10,-0.004447116012203656
2010-02-11,0.0004805707319927503
2010-02-12,0.006956265568995443
2010-02-15,-0.00034762667120725343
2010-02-16,0.013187955257801077
2010-02-17,0.001962597538928567
2010-02-18,0.0013274161580125823
2010-02-19,0.001248235318932719
2010-02-22,-0.005619712747029268
2010-02-23,-0.005825243615751744
2010-02-24,0.007870821741422389
2010-02-25,0.00376691717275528
2010-02-26,-0.0030813407466351002
2010-03-01,0.008420988614098372
2010-03-02,0.024167505496296253
2010-03-03,0.010866874707014924
2010-03-04,0.015697457645612794
2010-03-05,0.015811487303531425
2010-03-08,0.0031109482812500117
2010-03-09,0.004163783785992749
2010-03-10,0.004241761284144326
2010-03-11,0.0010665097951892558
2010-03-12,0.0026508472799082845
2010-03-15,-0.0010743704709460752
2010-03-16,-0.00211444130625064
2010-03-17,0.012209135689683851
2010-03-18,0.01117063247727338
2010-03-19,0.01416150753304616
2010-03-22,-0.010180767890513993
2010-03-23,0.0055132363943211134
2010-03-24,0.0035780350399853243
2010-03-25,-0.0017324018454903715
2010-03-26,0.0031626564576374134
2010-03-29,0.005198970669937086
2010-03-30,-0.005030348847375372
2010-03-31,0.0018092557424777543
2010-04-01,0.0014836015237936241
2010-04-02,-0.0007127251546781972
2010-04-05,0.02086331732840365
2010-04-06,0.0049737659938098
2010-04-07,-0.013462983390973217
2010-04-08,0.012658897481476897
2010-04-09,0.010683175438660857
2010-04-12,0.005196299405173103
2010-04-13,-0.002284317204568211
2010-04-14,0.014186416813757574
2010-04-15,-0.004698949498729217
2010-04-16,-0.03729378180837362
2010-04-19,0.005585951768218174
2010-04-20,0.007178506065306492
2010-04-21,0.0037847442020984058
2010-04-22,0.018293149329739807
2010-04-23,0.019824403864206256
2010-04-26,0.012970852222541313
2010-04-27,-0.05238725662883814
2010-04-28,-0.031121284264719107
2010-04-29,0.029943682730784283
2010-04-30,-0.038692155164920874
2010-05-03,-0.002000786874375108
2010-05-04,-0.03258535802677963
2010-05-05,0.017250858234976255
2010-05-06,-0.033173771994671315
2010-05-07,-0.05834517188119324
2010-05-10,0.02195585204388296
2010-05-11,0.0011921228920524687
2010-05-12,0.016873842882558596
2010-05-13,-0.009508223422023211
2010-05-14,-0.01149376376801341
2010-05-17,0.0002315555432208503
2010-05-18,-0.031426443577188906
2010-05-19,-0.00024303928309047772
2010-05-20,-0.05556947287267044
2010-05-21,0.03050045386225017
2010-05-24,-0.018575390518796676
2010-05-25,-0.00959544506848363
2010-05-26,-0.0009989437031093062
2010-05-27,0.033840455993114166
2010-05-28,-0.01655215157356513
2010-05-31,-0.003434967523086378
2010-06-01,-0.009357997550752022
2010-06-02,0.016645233868079333
2010-06-03,0.0029842762092213396
2010-06-04,-0.019792669325220492
2010-06-07,-0.013079253399560805
2010-06-08,0.0010257662870049864
2010-06-09,0.0017445541313864852
2010-06-10,0.03505877564618611
2010-06-11,0.011011872949364232
2010-06-14,-0.0035003941103700213
2010-06-15,0.03102096748006283
2010-06-16,-0.0044310136285803286
2010-06-17,-0.012786846561251466
2010-06-18,-0.00813594371134302
2010-06-21,-0.009513523618564652
2010-06-22,-0.0192402742499693
2010-06-23,-0.007287037454104549
2010-06-24,-0.014168854827342887
2010-06-25,0.026838240426599373
2010-06-28,-0.00011767272829396646
2010-06-29,-0.04640001331376537
2010-06-30,-0.018362023401473606
2010-07-01,-0.004660841852490108
2010-07-02,-0.025564208033963386
2010-07-05,-0.00416541104774854
2010-07-06,0.002779220891145986
2010-07-07,0.022728131800573606
2010-07-08,0.010104650845292603
2010-07-09,0.012699345110074804
2010-07-12,-0.0014330084114619929
2010-07-13,0.00682454709742447
2010-07-14,-0.00785598274410638
2010-07-15,-0.00022990267018370642
2010-07-16,-0.029571603334324736
2010-07-19,0.002292029410821684
2010-07-20,0.025117611657034005
2010-07-21,-0.020759003186870347
2010-07-22,0.0307465814556181
2010-07-23,0.016419591425045354
2010-07-26,0.018571275979728397
2010-07-27,0.027273105278988217
2010-07-28,-0.005447813766096084
2010-07-29,0.005473272788890071
2010-07-30,0.002376660707336104
2010-08-02,0.03143945664108194
2010-08-03,-0.0006888387759285378
2010-08-04,0.004406553661796156
2010-08-05,0.008948721576851788
2010-08-06,-0.004516046095866068
2010-08-09,0.012325784908530566
2010-08-10,-0.0051935268873742925
2010-08-11,-0.030980541029659595
2010-08-12,0.0077045905120312844
2010-08-13,6.151101795008216e-05
2010-08-16,0.007938780274726253
2010-08-17,-0.0009467019723977128
2010-08-18,3.5545104208350824e-05
2010-08-19,-0.02271496461393369
2010-08-20,-0.012124876470180464
2010-08-23,-0.005391524961677445
2010-08-24,-0.03159725244118794
2010-08-25,-0.013597551733241372
